ZONA PORTUARIA;SOCIEDAD PORTUARIA;TIPO DE CARGA;EXPORTACION;IMPORTACIÓN;TRANSBORDO;TRANSITO INTERNACIONAL;FLUVIAL;CABOTAJE;AÑO VIGENCIA;MES VIGENCIA
BARRANQUILLA;COMPAÑIA DE PUERTOS ASOCIADOS S.A.;GRANEL LIQUIDO;0;13709;0;;;;2019;4
GUAJIRA;CERREJON ZONA NORTE S.A.;GRANEL LIQUIDO;0;12429;0;;;;2018;9
BARRANCABERMEJA;ECOPETROL S.A.;GRANEL LIQUIDO;0;0;0;;73746;;2019;12
BARRANQUILLA;COMPAÑIA DE PUERTOS ASOCIADOS S.A.;GRANEL SOLIDO DIFER. DE CARBON;0;19084;0;;;;2019;10
BUENAVENTURA;SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.;GRANEL SOLIDO DIFER. DE CARBON;0;72258;0;;;;2018;12
TURBO;PROMOTORA BANANERA S.A;GENERAL;4;0;0;;;;2018;11
BARRANQUILLA;COMPAÑIA DE PUERTOS ASOCIADOS S.A.;CARBON AL GRANEL;73650;0;0;;;;2019;3
CARTAGENA;SOCIEDAD PORTUARIA DEL DIQUE S.A.;GRANEL LIQUIDO;0;0;0;;;10006;2019;5
GUAJIRA;SOCIEDAD PORTUARIA DE LA PENINSULA S.A.;GENERAL;0;1210;0;;;;2020;7
CARTAGENA;PUERTO DE MAMONAL S.A.  EN REORGANIZACION EMPRESARIAL;GENERAL;11853;4028;0;;;;2019;10
CARTAGENA;SOCIEDAD PORTUARIA PUERTO BAHIA;GENERAL;1629;3572;908;;;128;2020;8
SANTA MARTA;CENIT TRANSPORTE Y LOGÍSTICA DE HIDROCARBUROS SAS;GRANEL LIQUIDO;0;415259;0;;;19164;2019;1
CARTAGENA;SOCIEDAD PORTUARIA TRANSMARSYP S.A.;GENERAL;0;0;0;;;1844;2019;4
